DeviceID,Time,Rotation,Temperature,Vibration,Sound,Faulty
6,2016-03-07 12:41:08,473.9,54.6,157.0,47.6,1
6,2016-10-01 00:10:38,615.5,50.7,143.3,52.1,1
1,2016-01-02 08:29:54,517.0,43.3,177.6,47.5,0
2,2016-01-01 11:45:23,614.2,35.6,143.4,46.7,0
4,2016-01-03 00:28:36,544.6,42.3,139.4,50.0,0
6,2016-04-08 02:32:36,627.7,47.9,113.8,47.3,1
2,2016-01-02 19:02:12,538.0,42.0,199.2,48.2,0
1,2016-01-03 09:26:35,597.8,37.2,152.6,48.5,0
5,2016-06-15 09:32:42,442.4,38.0,119.3,59.4,1
5,2016-09-08 06:34:10,496.8,43.8,224.5,51.6,1
6,2016-11-05 21:30:19,643.2,39.9,200.0,57.4,1
5,2016-09-11 07:45:37,511.7,43.0,118.4,47.3,1
4,2016-01-01 13:38:16,631.4,35.1,128.7,51.6,0
3,2016-01-01 16:08:43,622.8,37.1,162.6,48.5,0
2,2016-01-02 01:59:31,620.6,39.6,113.3,45.6,0
6,2016-04-26 01:40:03,643.3,51.6,153.3,51.8,1
3,2016-01-01 19:54:24,662.0,38.6,107.5,50.6,0
2,2016-01-02 14:21:06,648.4,35.7,186.6,45.8,0
5,2016-10-12 14:19:30,623.7,51.6,146.0,50.2,1
4,2016-01-03 12:03:29,505.5,42.4,172.0,51.6,0
6,2016-01-25 04:51:54,447.3,52.0,143.3,53.9,1
4,2016-01-01 22:51:57,674.6,35.9,108.9,46.6,0
4,2016-01-03 03:53:41,539.1,37.5,152.1,49.9,0
1,2016-01-02 23:27:29,512.4,43.5,136.9,45.6,0
5,2016-05-07 17:53:22,623.0,43.4,143.8,59.6,1
6,2016-11-05 09:39:04,504.2,45.2,223.0,55.4,1
5,2016-04-11 05:40:08,550.4,44.8,170.0,59.7,1
1,2016-01-01 06:48:27,609.2,42.0,159.7,47.5,0
2,2016-01-03 06:52:35,570.0,44.7,171.4,45.8,0
6,2016-05-12 11:54:43,500.7,35.6,207.0,59.0,1
4,2016-01-02 04:51:26,549.1,38.1,165.8,45.1,0
6,2016-05-12 00:39:07,487.7,48.9,173.7,52.9,1
6,2016-02-03 03:44:43,478.3,51.1,180.6,55.0,1
2,2016-01-02 14:35:41,656.7,38.8,101.6,46.3,0
2,2016-01-03 11:32:22,650.8,41.5,102.2,50.0,0
1,2016-01-01 01:19:08,690.6,39.4,117.6,46.7,0
4,2016-01-02 03:33:10,558.9,35.3,174.9,51.7,0
1,2016-01-01 00:54:32,511.2,37.2,133.7,47.2,0
6,2016-11-30 20:33:50,570.5,54.3,155.9,48.7,1
1,2016-01-03 16:10:01,565.6,43.7,127.8,47.7,0
6,2016-04-11 19:44:07,627.7,54.7,119.8,49.6,1
2,2016-01-01 15:24:45,577.7,35.6,165.2,48.1,0
1,2016-01-02 22:22:18,645.7,39.9,181.2,46.0,0
6,2016-01-10 01:33:43,623.2,48.1,180.5,45.6,1
6,2016-01-04 16:22:37,622.1,49.8,221.6,53.6,1
5,2016-11-16 17:54:05,644.5,46.4,208.0,48.3,1
6,2016-02-02 15:49:17,574.0,38.3,145.5,55.1,1
4,2016-01-01 08:58:18,594.4,36.5,113.2,46.5,0
6,2016-05-24 13:26:42,423.4,47.2,164.3,48.9,1
4,2016-01-02 20:24:38,662.5,43.6,120.3,49.6,0
3,2016-01-03 06:02:36,665.6,40.4,189.4,45.3,0
5,2016-11-07 10:50:28,517.5,47.3,247.3,45.9,1
6,2016-08-12 00:27:25,648.2,49.7,140.9,59.3,1
5,2016-04-23 16:26:37,592.6,44.9,166.2,49.1,1
2,2016-01-01 15:36:57,510.4,39.8,123.7,47.7,0
6,2016-05-09 15:20:26,473.1,47.0,148.9,54.0,1
2,2016-01-02 09:35:37,557.8,44.3,164.9,49.9,0
1,2016-01-03 22:04:43,612.6,36.1,111.6,45.2,0
1,2016-01-01 11:15:26,663.9,35.3,176.0,49.6,0
4,2016-01-03 23:33:47,698.4,36.9,184.8,49.8,0
5,2016-12-12 06:17:27,496.4,44.2,238.2,48.7,1
5,2016-01-25 02:13:18,603.7,50.2,106.9,48.1,1
5,2016-11-26 00:46:39,550.5,51.6,131.0,59.7,1
6,2016-06-05 07:39:03,505.4,41.1,244.5,46.8,1
5,2016-06-02 19:49:43,520.2,37.5,119.1,57.5,1
5,2016-03-17 19:13:14,456.1,39.6,221.4,54.1,1
2,2016-01-01 11:59:49,542.3,35.8,153.8,47.4,0
5,2016-03-12 04:14:07,554.5,42.1,227.4,57.7,1
5,2016-06-08 01:54:37,424.9,51.6,109.7,50.7,1
1,2016-01-02 22:15:20,647.8,36.6,191.8,48.6,0
5,2016-03-18 18:00:45,611.9,53.8,230.2,47.7,1
3,2016-01-01 01:06:48,503.1,41.3,190.3,50.4,0
6,2016-03-28 16:34:35,638.8,45.6,247.0,51.7,1
3,2016-01-01 18:41:41,553.1,41.8,170.8,50.1,0
1,2016-01-01 06:58:48,519.9,35.4,190.9,50.9,0
2,2016-01-02 05:08:28,527.3,41.0,113.3,50.8,0
6,2016-11-24 02:53:21,619.3,37.0,131.6,59.9,1
6,2016-05-15 19:57:14,516.3,52.4,130.6,48.6,1
1,2016-01-03 13:15:53,629.7,38.5,107.0,45.1,0
5,2016-10-10 10:38:53,643.3,42.5,155.8,48.4,1
6,2016-01-17 07:14:29,579.3,51.5,143.7,49.0,1
5,2016-04-25 11:07:25,484.7,44.2,184.4,46.9,1
4,2016-01-02 14:16:50,692.7,37.6,130.0,45.7,0
1,2016-01-01 17:40:50,645.9,40.5,107.0,47.9,0
1,2016-01-01 06:15:17,648.2,38.5,180.6,48.0,0
5,2016-01-14 08:21:50,576.0,47.5,210.8,55.8,1
1,2016-01-03 02:11:59,657.0,38.2,158.0,48.1,0
6,2016-09-24 15:48:35,431.0,39.6,101.7,50.4,1
5,2016-08-03 23:58:34,448.8,43.4,118.9,51.6,1
3,2016-01-02 14:47:18,614.5,38.3,185.7,49.4,0
5,2016-07-16 02:15:18,560.7,41.3,203.2,46.9,1
4,2016-01-01 07:01:36,615.7,43.0,103.9,50.9,0
6,2016-08-25 12:36:24,477.9,39.5,135.6,47.6,1
4,2016-01-03 02:33:50,668.0,40.0,166.3,45.0,0
5,2016-11-15 01:12:56,481.0,41.8,107.8,55.7,1
6,2016-04-12 02:55:45,500.2,53.8,108.4,59.4,1
5,2016-07-07 11:51:53,576.6,44.9,245.6,58.0,1
3,2016-01-03 05:52:22,549.9,37.7,105.5,48.5,0
1,2016-01-01 13:44:36,680.4,36.2,110.1,51.5,0
2,2016-01-02 08:10:03,543.1,37.6,120.4,48.3,0
6,2016-08-17 06:28:42,592.5,35.1,218.4,57.1,1
2,2016-01-02 13:35:18,692.5,36.4,133.2,48.3,0
5,2016-07-24 06:29:01,578.0,54.0,144.8,47.2,1
5,2016-12-25 13:26:00,408.5,48.2,149.9,52.6,1
4,2016-01-03 08:16:06,678.1,43.5,153.3,52.0,0
4,2016-01-01 19:14:40,683.8,39.3,160.6,48.9,0
1,2016-01-01 09:56:49,541.8,36.2,110.5,48.9,0
6,2016-09-09 01:30:54,633.2,38.8,220.8,54.3,1
6,2016-03-05 20:47:27,460.4,43.0,165.4,47.1,1
2,2016-01-02 14:47:25,606.9,37.8,118.6,45.6,0
6,2016-03-24 12:22:12,408.3,40.2,208.1,51.0,1
6,2016-02-28 21:45:03,423.6,44.9,116.6,47.6,1
2,2016-01-01 14:10:16,693.9,38.9,195.8,47.0,0
6,2016-01-18 15:18:09,574.2,48.1,152.9,46.5,1
2,2016-01-02 02:05:42,666.2,35.4,166.1,49.1,0
5,2016-10-20 14:53:37,508.3,37.3,196.1,55.6,1
1,2016-01-03 16:10:35,565.5,43.9,193.9,49.3,0
6,2016-05-15 16:21:28,532.4,45.0,214.1,55.0,1
5,2016-10-19 21:02:47,521.6,50.7,145.0,56.7,1
4,2016-01-02 02:28:32,590.6,44.5,128.7,46.8,0
5,2016-05-12 13:57:17,449.6,42.7,184.4,53.7,1
4,2016-01-03 22:57:16,594.1,35.2,124.6,49.4,0
5,2016-07-27 05:10:14,600.9,47.8,221.4,54.7,1
3,2016-01-02 22:28:38,618.0,35.3,136.6,50.6,0
5,2016-05-30 16:57:01,574.9,37.1,135.9,59.1,1
3,2016-01-02 16:05:19,579.6,42.9,173.5,47.8,0
6,2016-09-07 18:19:58,590.9,35.9,233.4,59.6,1
6,2016-07-27 16:45:43,540.0,47.0,123.8,53.7,1
1,2016-01-01 15:42:43,519.4,44.8,159.9,47.1,0
2,2016-01-02 19:12:01,503.2,42.6,159.1,49.5,0
1,2016-01-01 04:17:44,576.1,36.8,196.1,46.9,0
5,2016-09-13 13:43:44,521.6,39.5,145.4,47.8,1
5,2016-11-13 20:47:38,563.6,45.5,199.0,59.4,1
6,2016-07-17 05:03:22,429.3,41.5,181.8,54.8,1
6,2016-01-10 04:44:16,409.2,51.7,221.8,47.9,1
5,2016-04-06 03:02:17,485.9,53.8,134.5,58.3,1
5,2016-02-11 12:46:16,577.1,40.2,106.1,50.5,1
5,2016-10-30 19:27:14,435.2,54.5,132.2,45.5,1
3,2016-01-02 13:54:04,574.6,40.6,155.5,51.6,0
1,2016-01-02 16:51:46,591.0,36.3,142.2,50.1,0
6,2016-03-11 16:12:54,539.3,40.5,136.2,46.3,1
2,2016-01-03 22:36:46,608.6,43.6,196.4,46.7,0
1,2016-01-03 05:43:31,557.8,37.0,169.0,46.2,0
6,2016-09-15 18:48:36,472.4,48.1,224.5,45.8,1
1,2016-01-01 17:37:46,613.5,39.9,133.5,47.8,0
3,2016-01-01 09:19:18,543.8,40.4,106.6,48.1,0
3,2016-01-02 22:23:00,558.2,36.5,176.3,46.9,0
6,2016-12-20 17:56:56,404.9,44.4,223.8,45.7,1
4,2016-01-03 04:57:54,604.9,39.0,144.4,45.9,0
5,2016-09-15 13:03:37,556.5,35.4,183.3,57.5,1
6,2016-11-13 09:04:25,644.2,40.8,202.4,59.2,1
3,2016-01-01 21:02:05,532.0,41.7,199.8,49.9,0
6,2016-08-14 07:17:51,478.7,47.8,239.5,58.1,1
3,2016-01-02 23:31:04,657.5,37.1,103.3,47.3,0
2,2016-01-03 04:57:51,546.5,38.2,110.0,45.7,0
5,2016-10-16 08:11:06,484.4,49.0,166.3,49.2,1
1,2016-01-02 22:13:36,665.6,38.1,170.7,48.7,0
1,2016-01-03 18:29:12,694.3,43.9,149.2,49.0,0
3,2016-01-01 17:43:01,598.1,44.9,103.1,46.1,0
1,2016-01-02 00:17:38,590.6,41.0,109.9,47.1,0
4,2016-01-01 00:51:44,570.9,35.3,120.9,50.2,0
5,2016-12-31 04:46:55,631.1,37.3,109.4,46.7,1
5,2016-06-06 22:48:24,404.4,48.3,103.1,46.5,1
1,2016-01-01 15:02:04,582.6,42.8,158.3,47.8,0
3,2016-01-03 18:40:17,667.8,40.9,140.9,45.8,0
4,2016-01-01 06:57:22,505.3,36.6,170.0,51.9,0
5,2016-04-25 21:13:18,457.5,37.9,228.4,49.5,1
3,2016-01-03 10:01:05,611.5,41.4,195.1,46.4,0
6,2016-09-23 06:43:55,428.1,49.4,153.7,57.2,1
5,2016-11-17 06:47:47,521.1,53.1,147.5,50.2,1
2,2016-01-03 03:15:55,655.3,39.3,138.0,47.2,0
5,2016-01-11 19:46:31,531.9,52.7,202.6,46.7,1
3,2016-01-01 18:55:22,696.1,38.7,143.4,51.3,0
5,2016-11-27 12:12:43,640.3,46.2,224.9,46.5,1
6,2016-08-05 23:08:25,400.4,46.8,181.3,49.2,1
5,2016-03-05 12:05:34,605.5,49.6,153.0,45.8,1
3,2016-01-02 15:38:34,554.0,39.2,150.9,49.4,0
5,2016-08-29 02:12:53,408.3,50.8,169.1,48.6,1
1,2016-01-01 11:30:20,545.4,39.8,197.2,48.6,0
2,2016-01-02 04:31:52,695.5,36.5,164.4,46.4,0
2,2016-01-01 12:49:04,535.3,36.0,158.7,48.5,0
6,2016-02-16 07:11:03,402.3,47.9,225.9,59.0,1
2,2016-01-03 04:35:22,592.4,41.0,186.8,48.5,0
5,2016-05-03 13:44:31,535.9,44.7,113.5,51.0,1
6,2016-03-04 14:15:49,421.5,37.6,108.9,50.2,1
5,2016-08-04 08:22:00,638.3,48.6,205.1,48.2,1
6,2016-06-19 13:12:06,532.8,44.6,142.1,46.8,1
2,2016-01-02 17:08:52,505.5,37.3,160.7,47.0,0
5,2016-05-08 21:54:25,464.6,46.6,227.5,58.1,1
2,2016-01-01 06:33:56,569.5,40.7,146.2,51.6,0
2,2016-01-03 13:48:21,658.7,38.9,170.0,48.9,0
5,2016-02-25 20:59:55,525.6,37.4,211.9,50.1,1
6,2016-07-01 14:45:49,454.7,49.1,109.9,49.2,1
2,2016-01-01 06:30:20,664.1,40.3,118.2,49.9,0
6,2016-12-30 16:43:15,589.4,50.5,169.4,58.5,1
3,2016-01-02 17:42:45,673.3,40.4,127.3,47.7,0
5,2016-07-12 20:10:05,503.4,37.6,149.6,49.2,1
4,2016-01-01 09:17:36,565.2,37.3,135.0,49.3,0
6,2016-07-04 18:10:48,510.7,52.3,228.4,58.8,1
2,2016-01-03 13:20:35,537.2,38.2,162.7,49.5,0
5,2016-03-27 06:31:42,564.1,51.8,216.1,51.6,1
6,2016-11-16 18:49:59,405.7,47.7,246.7,57.0,1
3,2016-01-02 23:04:43,573.2,38.8,145.7,49.9,0
2,2016-01-02 06:45:00,665.7,37.9,179.1,47.9,0
6,2016-01-08 12:22:28,604.8,39.2,175.1,47.8,1
4,2016-01-01 20:45:55,644.2,36.6,122.4,50.5,0
5,2016-09-07 17:44:37,595.0,49.9,240.2,47.2,1
2,2016-01-03 19:28:13,685.1,41.0,117.7,48.5,0
6,2016-02-16 02:29:09,422.6,47.9,230.0,47.9,1
1,2016-01-01 09:12:22,677.7,43.3,146.9,48.8,0
5,2016-05-11 23:51:18,410.2,41.2,230.3,49.1,1
1,2016-01-03 19:17:43,516.7,42.2,112.8,51.0,0
3,2016-01-03 21:52:02,537.0,36.7,133.1,50.5,0
6,2016-07-02 08:05:09,438.1,51.4,190.8,51.4,1
6,2016-10-28 02:22:32,615.2,50.1,213.7,49.3,1
6,2016-07-01 10:41:41,489.9,49.3,169.0,48.9,1
5,2016-08-01 12:57:50,478.3,53.3,175.7,48.8,1
5,2016-05-29 16:20:13,402.5,39.6,245.3,57.0,1
6,2016-06-26 17:58:00,458.9,52.0,104.1,45.1,1
3,2016-01-02 20:47:33,602.5,39.0,132.6,45.5,0
6,2016-03-20 20:08:50,588.7,50.5,218.5,49.1,1
4,2016-01-03 09:35:28,698.7,35.7,197.4,50.6,0
6,2016-11-27 17:27:50,491.4,38.7,181.4,47.1,1
2,2016-01-03 21:49:55,569.5,37.4,107.5,49.6,0
1,2016-01-03 04:50:37,518.0,35.3,197.9,48.9,0
4,2016-01-02 15:33:29,643.4,41.2,103.1,51.5,0
5,2016-03-01 12:11:26,463.0,54.1,145.1,54.6,1
4,2016-01-01 09:11:28,559.6,44.2,175.6,47.6,0
5,2016-01-26 18:01:23,517.1,53.8,141.5,50.1,1
3,2016-01-03 09:41:44,671.8,37.9,102.7,46.7,0
5,2016-05-28 07:09:11,432.8,39.6,200.9,51.9,1
1,2016-01-03 16:42:58,599.1,41.2,136.0,49.2,0
4,2016-01-01 20:07:22,525.7,38.0,127.6,47.5,0
6,2016-03-11 23:45:22,421.6,36.0,226.4,51.6,1
6,2016-06-15 12:59:41,471.5,54.3,244.3,57.5,1
2,2016-01-03 07:53:08,642.6,39.4,115.0,48.0,0
6,2016-11-13 09:25:31,647.1,35.8,231.8,49.5,1
5,2016-03-28 18:30:07,512.8,52.2,202.7,55.4,1
4,2016-01-03 07:06:02,684.1,44.8,178.6,50.2,0
2,2016-01-03 13:38:27,585.6,39.7,103.3,51.2,0
5,2016-06-15 17:24:04,482.6,40.1,199.2,49.5,1
6,2016-02-17 21:17:29,544.7,46.1,109.5,56.5,1
2,2016-01-02 02:03:01,651.3,39.3,172.6,46.5,0
2,2016-01-03 20:27:40,606.4,39.5,145.8,49.9,0
6,2016-07-14 22:49:45,447.0,37.9,150.4,59.5,1
4,2016-01-01 03:09:25,635.5,35.3,100.4,50.8,0
1,2016-01-02 07:38:30,551.3,35.4,172.3,51.8,0
6,2016-09-08 13:32:40,647.8,51.5,104.2,59.6,1
3,2016-01-03 21:23:46,629.5,42.3,128.9,50.3,0
2,2016-01-03 06:14:19,559.8,38.2,124.2,49.9,0
3,2016-01-03 12:24:27,550.6,40.6,119.4,47.7,0
5,2016-10-28 19:06:22,645.1,47.6,200.0,59.3,1
6,2016-07-31 05:08:39,645.9,43.0,158.9,57.5,1
6,2016-04-07 12:53:29,574.4,40.1,219.5,49.8,1
6,2016-10-25 13:55:44,469.3,51.1,222.6,51.6,1
2,2016-01-03 20:38:13,610.3,43.3,127.1,48.5,0
1,2016-01-03 14:24:49,647.8,45.0,180.4,51.8,0
1,2016-01-03 05:53:50,611.3,38.5,107.0,49.7,0
1,2016-01-03 02:14:37,668.3,38.5,125.7,48.3,0
6,2016-10-28 07:00:55,634.3,49.5,222.8,59.5,1
3,2016-01-03 00:50:21,628.9,43.5,161.0,51.7,0
2,2016-01-01 03:12:14,517.6,37.8,191.9,51.4,0
1,2016-01-01 08:08:27,525.2,37.8,116.0,51.8,0
6,2016-06-04 06:33:35,638.4,39.5,133.6,54.5,1
5,2016-08-26 07:55:11,551.7,40.1,125.7,50.3,1
6,2016-05-25 10:48:35,587.0,43.2,172.0,52.3,1
6,2016-02-17 13:56:25,581.6,52.0,196.5,47.8,1
6,2016-03-28 22:21:38,541.7,50.5,248.8,58.5,1
5,2016-11-07 07:28:19,529.9,45.5,105.9,57.5,1
6,2016-10-06 15:56:00,507.5,51.4,242.1,59.8,1
6,2016-04-01 04:25:59,638.2,47.6,142.2,58.2,1
2,2016-01-03 09:42:38,614.2,43.3,135.2,49.6,0
1,2016-01-01 14:15:16,538.3,35.3,150.9,47.6,0
1,2016-01-01 04:31:53,539.2,40.5,164.7,45.9,0
6,2016-12-08 05:17:36,417.5,37.6,120.1,56.3,1
6,2016-04-15 02:45:52,605.4,46.6,191.4,56.6,1
5,2016-09-08 11:20:31,455.3,44.3,141.5,46.8,1
6,2016-12-12 15:26:54,448.8,35.6,246.1,48.0,1
3,2016-01-03 01:44:45,623.4,44.1,135.0,50.4,0
2,2016-01-01 03:59:53,502.3,43.6,104.8,49.3,0
6,2016-02-05 03:02:35,497.4,49.1,195.5,45.2,1
5,2016-10-10 01:46:53,529.2,53.9,153.8,54.3,1
2,2016-01-01 21:40:56,548.9,36.4,134.8,48.2,0
2,2016-01-03 00:18:08,589.1,43.7,167.7,50.9,0
5,2016-08-24 07:33:10,561.0,51.8,209.6,58.2,1
6,2016-06-23 20:51:22,517.4,47.0,167.1,57.8,1
5,2016-08-28 05:21:33,523.6,47.9,227.3,59.7,1
1,2016-01-02 12:03:41,525.2,43.6,191.1,48.0,0
2,2016-01-03 19:22:37,574.3,37.0,167.0,51.9,0
5,2016-03-09 06:29:40,554.8,36.7,109.6,52.6,1
5,2016-01-20 19:07:52,498.4,50.6,104.8,45.6,1
3,2016-01-03 07:35:49,563.9,37.2,134.1,45.4,0
3,2016-01-03 01:16:52,605.6,41.6,103.3,49.7,0
3,2016-01-01 02:55:15,578.5,37.5,159.6,46.0,0
4,2016-01-02 05:56:04,506.3,44.1,195.5,48.8,0
3,2016-01-01 11:47:37,624.3,36.0,175.2,49.2,0
2,2016-01-01 20:43:37,587.3,44.6,118.5,51.8,0
6,2016-08-02 21:34:15,606.6,36.1,160.8,54.5,1
1,2016-01-01 13:03:55,627.5,43.6,131.4,49.3,0
2,2016-01-03 21:51:54,678.8,41.6,116.9,50.5,0
5,2016-05-17 23:59:55,585.0,51.2,119.2,45.4,1
5,2016-09-28 14:48:04,643.5,40.9,242.3,53.8,1
6,2016-01-02 19:52:06,574.6,41.8,170.7,54.1,1
5,2016-12-29 20:31:18,484.6,52.1,150.5,46.2,1
4,2016-01-03 19:00:45,625.9,38.5,163.7,51.8,0
1,2016-01-03 22:25:37,634.7,40.6,175.1,49.6,0
6,2016-01-16 03:52:33,620.8,50.6,187.6,52.8,1
5,2016-11-10 14:18:26,505.7,48.6,100.5,53.0,1
3,2016-01-02 19:07:10,634.9,41.0,154.3,50.4,0
6,2016-02-02 13:51:04,584.7,39.0,240.2,54.8,1
6,2016-08-12 02:50:05,424.1,35.3,154.9,51.2,1
6,2016-06-13 01:48:03,637.0,43.5,114.6,52.4,1
5,2016-07-29 20:11:28,536.4,36.9,211.5,54.2,1
6,2016-08-20 07:14:53,413.4,35.1,211.0,58.7,1
1,2016-01-03 13:46:55,503.5,43.4,186.9,47.4,0
5,2016-08-04 16:27:41,502.5,54.5,245.8,45.5,1
1,2016-01-01 21:53:46,591.4,37.8,127.0,46.6,0
6,2016-08-16 06:33:10,567.4,38.0,149.5,51.6,1
6,2016-12-17 08:17:00,461.4,54.6,152.8,45.1,1
6,2016-10-08 11:32:04,632.2,47.1,155.0,48.1,1
3,2016-01-01 17:47:30,566.3,35.0,154.3,47.6,0
1,2016-01-02 10:27:32,550.8,41.4,160.5,49.9,0
6,2016-06-15 16:30:40,512.7,50.8,121.0,48.9,1
5,2016-11-10 12:49:26,600.8,43.9,232.5,52.4,1
2,2016-01-01 15:08:00,513.6,41.1,116.4,51.0,0
4,2016-01-03 08:14:35,660.0,41.8,137.1,47.6,0
6,2016-07-01 07:03:37,451.8,46.9,138.1,54.5,1
2,2016-01-01 00:20:18,665.7,42.8,177.8,49.2,0
2,2016-01-01 16:38:34,627.4,35.1,127.9,49.9,0
6,2016-05-09 21:15:09,545.2,50.8,122.3,57.0,1
2,2016-01-01 02:26:55,643.1,36.2,185.1,46.0,0
5,2016-12-27 12:26:03,541.0,53.4,236.7,53.7,1
6,2016-05-31 08:18:04,560.7,48.6,137.9,47.2,1
2,2016-01-03 11:16:13,673.1,42.6,147.8,45.9,0
2,2016-01-03 01:03:04,608.3,39.2,187.7,51.4,0
5,2016-01-07 17:50:34,517.9,41.0,215.0,51.4,1
1,2016-01-01 17:48:02,670.0,37.7,166.8,48.7,0
6,2016-10-09 09:29:53,417.4,40.7,233.1,46.4,1
5,2016-06-24 18:28:41,476.2,41.3,101.5,50.7,1
6,2016-06-17 11:09:41,470.5,47.0,137.7,47.6,1
1,2016-01-01 10:02:42,628.7,38.9,196.0,48.1,0
3,2016-01-02 11:49:42,616.5,37.1,156.6,46.8,0
2,2016-01-01 01:18:12,574.0,38.9,191.7,48.9,0
4,2016-01-02 15:08:31,600.4,41.2,155.8,51.2,0
4,2016-01-03 19:04:06,663.1,39.7,168.6,47.1,0
6,2016-07-22 18:27:35,620.0,36.0,210.0,57.9,1
6,2016-04-28 06:25:41,642.0,40.5,231.7,50.7,1
6,2016-08-06 10:26:18,538.2,53.0,171.0,56.0,1
3,2016-01-01 22:43:55,686.7,41.0,110.4,49.8,0
5,2016-12-18 05:39:00,626.2,50.1,248.7,57.5,1
5,2016-12-05 09:20:01,517.2,46.2,216.3,51.9,1
3,2016-01-02 03:05:21,525.0,43.1,130.1,49.6,0
4,2016-01-01 04:29:18,528.3,35.9,139.3,50.3,0
6,2016-09-08 11:22:34,453.0,54.3,182.4,49.5,1
6,2016-02-14 19:31:51,523.5,50.7,240.7,52.6,1
6,2016-04-10 17:37:42,424.6,53.4,249.4,49.9,1
6,2016-01-24 08:25:23,442.7,46.4,230.2,60.0,1
5,2016-02-06 02:49:16,418.5,37.1,195.2,46.9,1
6,2016-10-30 19:52:44,424.9,51.0,125.8,50.0,1
6,2016-03-26 16:39:03,570.9,50.8,157.2,53.5,1
6,2016-03-19 23:19:06,509.1,46.5,126.1,52.2,1
4,2016-01-02 11:03:39,671.7,35.6,135.1,46.1,0
3,2016-01-03 23:01:21,568.0,40.9,154.6,48.1,0
2,2016-01-01 06:59:28,544.5,35.5,196.0,47.2,0
2,2016-01-03 15:12:57,572.2,40.9,154.8,49.4,0
4,2016-01-02 19:36:57,531.2,43.2,171.7,47.4,0
2,2016-01-03 12:35:32,615.4,36.0,142.3,50.7,0
6,2016-12-15 05:45:29,570.6,53.0,127.2,49.2,1
3,2016-01-01 11:14:01,501.6,35.9,151.9,47.3,0
2,2016-01-02 02:18:30,565.8,43.7,157.0,48.2,0
5,2016-06-27 18:06:42,470.8,54.6,168.3,46.9,1
